ACC,ACC_pita,ACC_targetscan,ACC_tfbs_db
BLCA,BLCA_pita,BLCA_targetscan,BLCA_tfbs_db
BRCA,BRCA_pita,BRCA_targetscan,BRCA_tfbs_db
CESC,CESC_pita,CESC_targetscan,CESC_tfbs_db
CHOL,CHOL_pita,CHOL_targetscan,CHOL_tfbs_db
COAD,COAD_pita,COAD_targetscan,COAD_tfbs_db
DLBC,DLBC_pita,DLBC_targetscan,DLBC_tfbs_db
ESCA,ESCA_pita,ESCA_targetscan,ESCA_tfbs_db
GBM,GBM_pita,GBM_targetScan,GBM_tfbs_db
HNSC,HNSC_pita,HNSC_targetscan,HNSC_tfbs_db
KICH,KICH_pita,KICH_targetscan,KICH_tfbs_db
KIRC,KIRC_pita,KIRC_targetscan,KIRC_tfbs_db
KIRP,KIRP_pita,KIRP_targetscan,KIRP_tfbs_db
LGG,LGG_pita,LGG_targetscan,LGG_tfbs_db
LIHC,LIHC_pita,LIHC_targetscan,LIHC_tfbs_db
LUAD,LUAD_pita,LUAD_targetscan,LUAD_tfbs_db
LUSC,LUSC_pita,LUSC_targetscan,LUSC_tfbs_db
MESO,MESO_pita,MESO_targetscan,MESO_tfbs_db
OV,OV_pita,OV_targetscan,OV_tfbs_db
PAAD,PAAD_pita,PAAD_targetscan,PAAD_tfbs_db
PCPG,PCPG_pita,PCPG_targetscan,PCPG_tfbs_db
PRAD,PRAD_pita,PRAD_targetscan,PRAD_tfbs_db
READ,READ_pita,READ_targetscan,READ_tfbs_db
SARC,SARC_pita,SARC_targetscan,SARC_tfbs_db
SKCM,SKCM_pita,SKCM_targetscan,SKCM_tfbs_db
STAD,STAD_pita,STAD_targetscan,STAD_tfbs_db
TGCT,TGCT_pita,TGCT_targetscan,TGCT_tfbs_db
THCA,THCA_pita,THCA_targetscan,THCA_tfbs_db
THYM,THYM_pita,THYM_targetscan,THYM_tfbs_db
UCEC,UCEC_pita,UCEC_targetscan,UCEC_tfbs_db
UCS,UCS_pita,UCS_targetscan,UCS_tfbs_db
UVM,UVM_pita,UVM_targetscan,UVM_tfbs_db
